"Letter","Synapses","Sex","Treatment","Time","ID","P1","P2","X","Y","Age","Animal","Category","Cell"
"AA","Glutamate","Male","Control",0,"23615004",-136.4296417,-137.6503448,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.083333333,"23615004",-5.372699738,-40.77309036,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.166666667,"23615004",-49.9283638,-124.3912582,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.25,"23615004",-8.175498962,-29.53780365,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.333333333,"23615004",-8.785850525,-10.00655365,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.416666667,"23615004",-79.87574768,-76.82398987,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.5,"23615004",-118.0949936,-33.25613022,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.583333333,"23615004",-7.701673031,-66.90577698,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.666666667,"23615004",-30.58182526,-32.41287994,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.75,"23615004",-50.61902618,-117.7576981,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.833333333,"23615004",-63.29988098,-82.22077942,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",0.916666667,"23615004",-115.894516,-30.44529915,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1,"23615004",-5.196019173,-45.47922134,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.083333333,"23615004",-6.095484734,-80.5583725,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.166666667,"23615004",-129.346344,-128.1256409,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.25,"23615004",-19.12167168,-9.356046677,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.333333333,"23615004",-8.175498962,-75.31417084,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.416666667,"23615004",-54.56221771,-86.91085052,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.5,"23615004",-148.7250061,-104.169342,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.583333333,"23615004",-61.35639572,-33.28022385,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.666666667,"23615004",-78.55063629,-8.970561981,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.75,"23615004",-38.64488983,-37.42418671,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.833333333,"23615004",-43.51967239,-106.9962387,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",1.916666667,"23615004",-35.04702759,-24.06070137,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",2,"23615004",-85.43315887,-24.39800072,165.2896875,215.629375,31,13,2,"13.2.1"
